bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
458.45,6114.85,225.77,283.65,10.84,304.78,0.40310300000000004,56.84,0.200239,88.59,11.55,7.28,27.72,0.203076,4.08,10.39,3.55
420.47,5754.44,211.72,275.25,10.59,296.38,0.395947,54.67,0.19733299999999998,86.27,12.14,7.16,27.2,0.20135799999999998,4.26,10.19,3.46
369.54,5787.82,213.13,281.42,10.4,297.92,0.424433,55.38,0.197981,86.91,12.19,7.49,28.86,0.202592,4.39,10.33,3.54
338.3,5899.74,216.65,286.14,10.49,296.51,0.41674399999999995,55.67,0.199349,88.58,12.07,7.65,28.33,0.20366800000000002,4.43,10.56,3.62
332.11,5747.95,206.38,289.03,10.62,298.02,0.443666,56.47,0.20568499999999998,88.17,12.53,7.66,28.48,0.20444400000000001,4.96,10.66,3.72
326.59,5524.6,193.74,294.47,10.58,298.44,0.45535600000000004,55.95,0.21202800000000002,88.49,13.13,8.12,30.11,0.20711300000000002,4.04,10.78,3.76
315.9,5935.52,196.65,283.94,10.28,287.12,0.389144,54.96,0.197404,85.16,11.72,7.59,27.34,0.19556700000000002,3.35,9.96,3.67
330.67,6006.0,204.72,275.44,10.82,295.1,0.391371,56.77,0.211283,86.48,11.98,7.65,28.49,0.203504,3.15,10.59,3.58
323.5,6036.66,208.5,277.93,10.93,300.55,0.390836,58.27,0.213296,88.18,12.64,7.37,27.15,0.21095799999999998,3.04,10.97,3.58
326.75,5996.79,213.01,288.95,11.21,303.57,0.403854,60.3,0.21600999999999998,90.41,14.11,7.31,27.76,0.210189,2.99,11.25,3.64
330.9,5708.11,199.81,295.41,11.36,308.05,0.432863,59.81,0.22094299999999997,88.71,14.7,7.9,28.68,0.215086,3.09,12.1,3.89
339.27,5583.74,195.58,297.85,11.52,314.54,0.457196,60.82,0.219728,89.66,14.3,7.82,29.66,0.218229,3.22,11.46,4.04
373.65,5603.82,193.93,300.02,11.92,316.94,0.474621,59.59,0.21738000000000002,91.19,13.92,7.97,31.66,0.23121599999999998,3.06,12.04,3.93
313.7,5741.58,199.63,302.28,11.9,333.48,0.45205200000000006,64.67,0.22419899999999998,95.93,12.63,7.86,28.5,0.256098,2.98,11.48,4.04
315.26,5687.57,193.05,309.46,11.95,336.71,0.43969899999999995,65.72,0.20695500000000003,94.99,10.89,8.0,27.76,0.263386,3.01,10.46,3.8
322.42,5835.96,200.83,317.01,12.24,339.53,0.458649,64.13,0.21070999999999998,99.94,11.29,8.03,27.65,0.257537,2.86,10.64,4.01
321.54,5643.53,196.68,310.23,12.2,338.85,0.441808,59.41,0.211723,95.06,11.82,8.31,29.32,0.26115,3.14,11.26,3.98
314.15,5464.16,188.67,292.39,12.0,304.08,0.412854,60.55,0.205702,87.23,12.12,8.19,27.85,0.24828499999999998,3.13,11.3,3.69
315.47,4829.58,166.71,298.12,11.51,303.5,0.481734,50.89,0.214797,87.56,12.12,9.26,30.01,0.265046,3.52,12.13,4.18
320.2,4789.25,161.34,291.41,11.55,301.18,0.477029,50.75,0.21032399999999998,86.74,11.48,8.12,29.3,0.260658,3.41,12.04,4.11
313.22,4776.21,158.71,283.55,11.49,297.6,0.46645299999999995,50.15,0.193943,85.61,11.55,7.49,29.15,0.252825,3.36,12.04,4.11
342.76,4614.52,148.29,299.7,12.12,308.67,0.500356,53.08,0.19476,89.74,12.11,7.78,32.04,0.278758,3.53,11.14,4.44
360.09,4429.67,142.71,310.25,12.28,311.06,0.5346489999999999,52.49,0.210679,91.39,14.65,8.54,35.64,0.238312,3.9,11.96,5.01
363.6,4369.35,141.85,307.54,12.32,308.89,0.504488,52.14,0.211943,90.94,14.65,8.66,33.54,0.233963,3.69,11.67,4.96
355.44,4324.46,138.96,305.25,11.94,295.15,0.543216,51.64,0.211733,91.91,14.22,8.82,32.5,0.23772600000000002,3.55,11.87,4.97
358.42,4229.88,135.21,305.39,11.97,292.77,0.5473939999999999,51.4,0.21814499999999998,90.49,14.12,8.67,31.21,0.215583,3.64,11.6,4.92
404.2,4319.37,136.92,296.74,12.38,292.75,0.5608529999999999,52.28,0.22335700000000003,92.95,13.84,9.26,33.79,0.203218,3.8,12.16,4.74
421.79,4408.46,139.07,308.56,12.47,297.48,0.577182,53.39,0.23102399999999998,91.52,14.95,9.19,36.65,0.203209,3.91,11.91,4.87
415.87,4395.81,139.19,315.95,12.74,302.48,0.6181800000000001,54.55,0.245185,93.56,16.36,9.82,35.7,0.206077,4.12,12.36,4.97
433.38,4341.05,136.23,326.94,12.98,301.55,0.62175,55.14,0.235614,95.59,14.72,10.11,34.12,0.197622,4.47,11.59,5.03
436.64,4166.11,130.13,327.34,12.51,291.48,0.584318,52.63,0.236294,94.44,14.73,9.74,28.59,0.193824,4.47,9.77,4.93
447.66,4171.62,131.15,337.93,12.77,299.12,0.595143,54.11,0.238155,97.3,15.41,10.47,30.25,0.196105,4.78,9.96,4.77
456.71,4197.13,126.3,345.97,12.63,306.47,0.549661,56.21,0.243626,100.97,17.02,10.35,31.78,0.202532,4.77,9.95,5.17
441.86,3892.94,117.41,338.69,11.23,287.02,0.514224,51.58,0.2281,92.75,15.03,9.78,26.32,0.185297,4.4,9.37,4.77
445.36,3928.41,117.5,345.08,10.87,292.35,0.55667,51.69,0.23224899999999998,93.81,15.38,10.01,26.12,0.18196800000000002,4.23,9.38,4.23
419.65,3681.58,109.68,330.63,10.41,282.22,0.5244489999999999,47.62,0.216117,89.37,15.53,8.66,19.8,0.175519,3.98,8.03,3.97
428.8,3796.15,113.12,350.4,10.61,286.21,0.540538,49.25,0.221619,91.76,13.73,9.01,20.17,0.178175,4.19,8.1,3.97
415.31,3629.92,109.38,346.76,10.21,264.6,0.507613,48.16,0.20995500000000003,88.03,13.0,8.66,18.58,0.173371,3.94,7.7,3.76
417.92,3628.02,108.61,331.11,10.1,258.11,0.49918500000000005,46.65,0.211115,86.17,13.15,8.13,17.39,0.171567,4.03,7.34,3.65
475.83,3901.47,116.67,342.41,11.21,283.26,0.5675859999999999,51.66,0.230329,95.33,15.15,9.12,19.65,0.180981,4.73,8.77,4.05
526.74,3916.36,117.55,323.78,11.44,282.01,0.5598489999999999,52.74,0.23794,97.64,15.58,9.92,19.9,0.18370999999999998,4.84,8.92,4.14
480.64,4073.79,122.2,333.64,11.83,293.66,0.608275,55.68,0.24959699999999999,100.83,17.0,11.0,20.99,0.18981900000000002,5.35,9.65,4.36
422.09,3591.09,106.62,311.89,10.01,252.23,0.496796,48.53,0.204058,93.81,16.56,9.88,19.91,0.178309,4.46,8.31,3.64
438.9,3606.28,109.75,298.59,9.92,245.85,0.48475799999999997,48.23,0.207979,94.97,15.52,9.9,20.64,0.178377,4.39,8.19,3.77
424.49,3637.75,111.11,284.5,10.24,250.87,0.47938500000000006,48.13,0.211927,100.11,17.03,9.96,18.75,0.181925,4.61,8.49,3.77
369.49,3166.3,97.42,236.05,9.09,215.22,0.4457,41.69,0.164483,83.13,13.53,8.13,15.81,0.165035,3.8,7.72,3.12
504.22,3875.37,115.97,301.11,14.05,276.59,0.565841,61.64,0.23372300000000001,111.29,17.15,10.58,20.08,0.200427,5.01,11.94,3.95
509.47,4131.98,123.14,324.72,14.45,291.12,0.592512,64.32,0.24799899999999997,111.81,18.93,11.68,20.83,0.20963,5.51,13.45,4.36
539.03,4168.88,125.29,318.42,14.67,294.63,0.561696,66.24,0.25144299999999997,112.72,19.24,11.37,21.87,0.21486,5.62,14.38,4.35
537.19,4122.47,121.88,322.02,13.62,289.75,0.49838000000000005,61.65,0.25601599999999997,113.05,21.48,11.42,22.68,0.212513,5.86,12.64,4.44
546.48,4229.34,129.7,323.24,14.84,294.06,0.561304,65.8,0.266973,115.64,23.04,12.29,21.76,0.209606,5.73,13.27,4.45
584.73,4229.81,128.51,334.95,15.14,296.17,0.525939,67.21,0.267915,118.19,19.17,11.38,24.63,0.21129299999999998,5.72,13.4,4.51
654.37,4605.16,137.68,343.53,17.86,329.64,0.648249,78.45,0.29297399999999996,120.28,21.53,12.91,30.59,0.223615,6.16,14.74,4.99
636.85,4589.14,135.88,346.45,19.01,333.52,0.739668,79.88,0.301906,121.39,22.34,11.65,21.3,0.22638200000000003,6.2,11.4,5.1
541.28,4376.59,130.25,328.15,16.59,313.8,0.613529,71.78,0.287124,118.78,21.64,10.96,22.97,0.21495100000000003,6.07,11.73,4.99
514.9,4228.29,114.74,316.88,15.82,297.57,0.544132,65.25,0.276383,106.75,20.87,8.68,21.88,0.20511,5.79,11.07,4.68
608.26,4591.63,128.26,356.94,18.54,347.13,0.744257,76.73,0.307735,126.23,26.91,10.55,30.44,0.22878099999999998,6.61,15.29,5.2
578.27,4585.27,131.71,354.63,20.18,350.23,0.698855,78.98,0.29817,124.93,27.7,10.79,31.77,0.227229,6.36,16.41,5.27
621.96,4901.42,141.11,393.53,22.04,387.82,0.79656,85.83,0.331627,141.35,32.49,11.99,31.69,0.24934800000000001,7.27,18.26,5.78
588.4,4701.76,135.66,377.92,16.4,383.47,0.842867,70.86,0.336602,140.65,35.67,11.73,33.17,0.255803,7.28,17.3,5.95
576.25,4555.59,135.6,368.57,15.68,378.44,0.869553,64.16,0.295006,131.95,35.78,11.17,32.93,0.22755799999999998,7.27,16.72,5.47
549.32,4570.36,128.06,359.59,15.8,369.47,0.8127770000000001,63.16,0.282948,133.84,34.89,9.49,33.48,0.218871,6.84,19.05,5.44
596.13,4389.21,119.01,357.16,15.79,347.96,0.876892,62.39,0.28026799999999996,144.24,36.12,8.58,38.46,0.22402600000000003,7.27,16.28,5.27
619.7,4384.45,114.84,362.5,16.09,350.04,0.922464,61.36,0.274706,130.76,35.56,8.33,40.23,0.203425,6.93,15.66,5.22
625.89,4345.1,116.11,400.42,15.27,334.36,0.962058,51.8,0.27056199999999997,137.59,35.16,8.29,38.58,0.212617,6.3,15.42,5.34
641.88,4372.06,100.14,315.28,15.28,331.99,0.915926,51.17,0.26961999999999997,107.46,35.31,8.26,40.31,0.218256,6.04,13.26,5.28
627.06,4332.82,123.4,317.91,15.13,326.11,0.894733,50.17,0.262673,86.47,35.51,8.38,41.96,0.2172,6.03,13.75,5.02
670.03,4137.6,128.05,292.96,15.36,317.45,0.854043,52.82,0.250082,90.35,35.6,8.2,39.92,0.252371,5.93,11.87,4.63
690.96,4089.01,120.2,290.46,14.47,315.27,0.842517,46.71,0.25398000000000004,91.01,35.53,7.61,35.83,0.24098699999999998,5.67,11.05,4.49
