bitcoin_cash,bitcoin,bitconnect,dash,ethereum_classic,ethereum,iota,litecoin,nem,monero,numeraire,omisego,neo,ripple,stratis,qtum,waves
428.5,3792.4,113.17,350.79,10.61,286.17,0.541796,49.27,0.222205,91.85,13.73,9.03,20.18,0.17788199999999998,4.23,8.11,3.97
415.09,3630.7,109.69,346.58,10.26,264.31,0.5060100000000001,48.09,0.210635,88.17,13.16,8.65,18.69,0.17351,3.93,7.68,3.77
416.26,3631.04,108.73,330.05,10.07,258.58,0.500724,46.61,0.210871,86.24,13.17,8.12,17.45,0.171754,4.03,7.38,3.64
476.05,3905.95,117.25,342.43,11.25,283.74,0.566627,51.73,0.231746,95.57,15.22,9.11,19.75,0.182078,4.75,8.79,4.07
527.88,3924.97,117.67,324.26,11.48,282.8,0.565168,52.84,0.237664,97.72,15.6,9.92,19.94,0.184041,4.85,8.91,4.16
479.32,4065.2,122.0,333.0,11.79,293.5,0.606233,55.53,0.248516,100.57,16.96,10.98,21.22,0.18976800000000002,5.37,9.62,4.34
419.86,3582.88,106.84,313.84,10.02,251.75,0.497046,48.49,0.204067,93.74,16.59,9.87,19.86,0.178393,4.44,8.27,3.64
440.22,3625.04,109.85,298.86,9.93,246.52,0.48723900000000003,48.26,0.207831,95.29,15.54,9.93,20.76,0.179082,4.39,8.25,3.76
424.02,3637.52,111.22,284.36,10.24,250.46,0.48051000000000005,48.21,0.211752,99.85,17.07,9.95,18.74,0.181358,4.62,8.47,3.78
367.04,3154.95,96.71,236.24,9.13,213.91,0.44501899999999994,41.58,0.16425399999999998,83.04,13.43,8.08,15.69,0.164167,3.78,7.6,3.09
503.61,3882.59,115.97,301.29,14.11,277.11,0.55682,61.73,0.233825,111.33,17.12,10.61,20.06,0.20077799999999998,5.01,11.94,3.95
510.41,4130.81,123.5,325.97,14.44,291.46,0.591949,64.23,0.249074,111.89,19.09,11.59,20.97,0.20930300000000002,5.53,13.51,4.38
537.81,4161.27,125.7,318.4,14.61,294.53,0.5582729999999999,66.04,0.25202600000000003,112.75,18.98,11.33,21.88,0.214441,5.6,14.28,4.35
537.07,4122.94,122.92,320.11,13.66,288.75,0.49560699999999996,61.61,0.256975,112.33,21.24,11.4,22.75,0.213031,5.86,12.78,4.41
547.47,4226.06,130.05,323.14,14.89,294.4,0.560809,66.01,0.267264,116.27,22.97,12.22,21.96,0.209995,5.76,13.32,4.46
583.1,4228.75,128.29,333.21,15.2,296.5,0.540475,67.79,0.26864099999999996,118.04,19.13,11.45,24.86,0.21151799999999998,5.71,13.5,4.5
652.86,4599.88,137.61,343.91,17.81,329.43,0.6457579999999999,78.48,0.293376,120.84,21.53,12.87,30.78,0.22364,6.17,14.74,4.98
638.18,4597.12,136.18,347.17,19.02,334.34,0.741663,80.11,0.30194099999999996,121.63,22.38,11.64,21.36,0.22618600000000003,6.22,11.4,5.16
541.71,4376.53,129.42,327.23,16.58,312.99,0.613085,71.29,0.286227,118.82,21.53,10.98,22.8,0.215189,6.03,11.71,4.98
517.24,4236.31,114.13,316.13,15.84,295.17,0.566472,65.21,0.27321999999999996,106.17,20.74,8.78,21.83,0.20496799999999998,5.77,10.98,4.66
607.43,4582.96,130.99,356.39,18.57,347.48,0.7439680000000001,76.84,0.307264,126.01,26.9,10.57,30.32,0.22881100000000001,6.59,15.29,5.2
575.9,4578.77,131.33,350.17,20.08,348.98,0.695547,79.02,0.29588400000000004,124.8,27.24,10.8,31.72,0.226669,6.34,16.39,5.23
622.17,4892.01,140.97,393.35,21.94,387.74,0.807778,86.04,0.33231,141.2,32.45,11.97,32.01,0.248479,7.25,18.26,5.74
588.17,4703.39,135.63,378.32,16.38,383.04,0.842424,71.06,0.337213,140.41,35.62,11.74,33.16,0.25563,7.28,17.3,5.94
575.21,4565.3,136.06,368.34,15.66,378.49,0.869647,64.17,0.295817,132.38,35.84,11.07,33.1,0.228006,7.33,16.84,5.48
552.93,4579.02,128.24,359.55,15.79,370.67,0.8119609999999999,63.17,0.283717,133.03,34.92,9.46,33.66,0.21856399999999998,6.96,19.15,5.45
596.18,4382.66,118.75,356.78,15.79,347.75,0.8751969999999999,62.36,0.27825700000000003,145.4,36.07,8.59,38.45,0.22450799999999999,7.24,16.24,5.26
620.9,4382.88,114.99,362.89,16.02,347.89,0.920351,61.16,0.27464099999999997,130.68,35.53,8.33,40.09,0.202995,6.97,15.7,5.23
625.32,4352.4,116.13,399.85,15.29,333.88,0.9622129999999999,51.75,0.268393,138.05,34.93,8.28,38.59,0.212577,6.3,15.41,5.32
641.05,4371.6,100.87,315.89,15.28,331.92,0.9196350000000001,51.18,0.270482,108.26,35.24,8.27,40.3,0.21782800000000002,6.06,13.32,5.27
628.11,4334.68,127.08,315.37,15.14,325.61,0.895101,50.19,0.26551199999999997,86.29,35.39,8.37,42.05,0.21895799999999999,6.0,13.78,5.02
669.4,4151.52,127.97,292.57,15.29,317.52,0.8503709999999999,53.25,0.24960300000000002,90.33,36.49,8.24,40.0,0.246827,5.88,11.9,4.6
