"","Date","Prix","Variation 24h"
"395",2017-01-29,"1 BTC = 860.77000000€","0.11%"
"396",2017-01-30,"1 BTC = 861.51000000€","0.09%"
"397",2017-01-31,"1 BTC = 856.49000000€","-0.59%"
"398",2017-02-01,"1 BTC = 861.99000000€","0.64%"
"399",2017-02-02,"1 BTC = 900.53000000€","4.28%"
"400",2017-02-03,"1 BTC = 918.95000000€","2%"
"401",2017-02-04,"1 BTC = 938.11000000€","2.04%"
"402",2017-02-05,"1 BTC = 942.19000000€","0.43%"
"403",2017-02-06,"1 BTC = 959.79000000€","1.83%"
"404",2017-02-07,"1 BTC = 943.85000000€","-1.69%"
"405",2017-02-08,"1 BTC = 953.77000000€","1.04%"
"406",2017-02-09,"1 BTC = 987.91000000€","3.46%"
"407",2017-02-10,"1 BTC = 990.85000000€","0.3%"
"408",2017-02-11,"1 BTC = 921.34000000€","-7.54%"
"409",2017-02-12,"1 BTC = 940.80000000€","2.07%"
"410",2017-02-13,"1 BTC = 950.40000000€","1.01%"
"411",2017-02-14,"1 BTC = 945.91000000€","-0.47%"
"412",2017-02-15,"1 BTC = 944.51000000€","-0.15%"
"413",2017-02-16,"1 BTC = 957.38000000€","1.34%"
"414",2017-02-17,"1 BTC = 958.91000000€","0.16%"
"415",2017-02-18,"1 BTC = 979.32000000€","2.08%"
"416",2017-02-19,"1 BTC = 993.00000000€","1.38%"
"417",2017-02-20,"1 BTC = 998.12000000€","0.51%"
"418",2017-02-21,"1 BTC = 991.58000000€","-0.66%"
"419",2017-02-22,"1 BTC = 1019.55000000€","2.74%"
"420",2017-02-23,"1 BTC = 1063.66000000€","4.15%"
"421",2017-02-24,"1 BTC = 1065.55000000€","0.18%"
"422",2017-02-25,"1 BTC = 1113.34000000€","4.29%"
"423",2017-02-26,"1 BTC = 1119.65000000€","0.56%"
"424",2017-02-27,"1 BTC = 1090.37000000€","-2.69%"
"425",2017-02-28,"1 BTC = 1110.13000000€","1.78%"
"426",2017-03-01,"1 BTC = 1124.17000000€","1.25%"
"427",2017-03-02,"1 BTC = 1119.77000000€","-0.39%"
"428",2017-03-03,"1 BTC = 1156.18000000€","3.15%"
"429",2017-03-04,"1 BTC = 1193.46000000€","3.12%"
"430",2017-03-05,"1 BTC = 1210.20000000€","1.38%"
"431",2017-03-06,"1 BTC = 1189.72000000€","-1.72%"
"432",2017-03-07,"1 BTC = 1192.98000000€","0.27%"
"433",2017-03-08,"1 BTC = 1209.10000000€","1.33%"
"434",2017-03-09,"1 BTC = 1167.45000000€","-3.57%"
"435",2017-03-10,"1 BTC = 1073.95000000€","-8.71%"
"436",2017-03-11,"1 BTC = 1127.61000000€","4.76%"
"437",2017-03-12,"1 BTC = 1045.90000000€","-7.81%"
"438",2017-03-13,"1 BTC = 1105.85000000€","5.42%"
"439",2017-03-14,"1 BTC = 1148.07000000€","3.68%"
"440",2017-03-15,"1 BTC = 1157.07000000€","0.78%"
"441",2017-03-16,"1 BTC = 1166.83000000€","0.84%"
"442",2017-03-17,"1 BTC = 1169.90000000€","0.26%"
